t,ramp_alpha,dry_run,tilt_trip,reason
8006.595457,1.000000,0,0,"ok"
8006.615419,1.000000,0,0,"ok"
8006.635414,1.000000,0,0,"ok"
8006.655413,1.000000,0,0,"ok"
8006.675367,1.000000,0,0,"ok"
8006.695483,1.000000,0,0,"ok"
8006.716602,1.000000,0,0,"ok"
8006.735411,1.000000,0,0,"ok"
8006.755377,1.000000,0,0,"ok"
8006.775426,1.000000,0,0,"ok"
8006.795405,1.000000,0,0,"ok"
8006.816155,1.000000,0,0,"ok"
8006.835352,1.000000,0,0,"ok"
8006.855343,1.000000,0,0,"ok"
8006.875362,1.000000,0,0,"ok"
8006.895338,1.000000,0,0,"ok"
8006.915359,1.000000,0,0,"ok"
8006.935327,1.000000,0,0,"ok"
8006.955405,1.000000,0,0,"ok"
8006.975403,1.000000,0,0,"ok"
8006.995401,1.000000,0,0,"ok"
8007.015405,1.000000,0,0,"ok"
8007.035460,1.000000,0,0,"ok"
8007.055322,1.000000,0,0,"ok"
8007.075361,1.000000,0,0,"ok"
8007.095556,1.000000,0,0,"ok"
8007.115375,1.000000,0,0,"ok"
8007.135329,1.000000,0,0,"ok"
8007.155389,1.000000,0,0,"ok"
8007.175359,1.000000,0,0,"ok"
8007.195414,1.000000,0,0,"ok"
8007.215340,1.000000,0,0,"ok"
8007.235330,1.000000,0,0,"ok"
8007.255513,1.000000,0,0,"ok"
8007.275338,1.000000,0,0,"ok"
8007.295424,1.000000,0,0,"ok"
8007.315333,1.000000,0,0,"ok"
8007.336141,1.000000,0,0,"ok"
8007.355392,1.000000,0,0,"ok"
8007.375409,1.000000,0,0,"ok"
8007.395386,1.000000,0,0,"ok"
8007.415389,1.000000,0,0,"ok"
8007.435444,1.000000,0,0,"ok"
8007.455318,1.000000,0,0,"ok"
8007.475514,1.000000,0,0,"ok"
8007.495463,1.000000,0,0,"ok"
8007.515710,1.000000,0,0,"ok"
8007.536216,1.000000,0,0,"ok"
8007.555328,1.000000,0,0,"ok"
8007.575306,1.000000,0,0,"ok"
8007.595446,1.000000,0,0,"ok"
8007.615382,1.000000,0,0,"ok"
8007.635384,1.000000,0,0,"ok"
8007.655327,1.000000,0,0,"ok"
8007.675395,1.000000,0,0,"ok"
8007.695886,1.000000,0,0,"ok"
8007.715381,1.000000,0,0,"ok"
8007.735323,1.000000,0,0,"ok"
8007.755307,1.000000,0,0,"ok"
8007.775370,1.000000,0,0,"ok"
8007.795413,1.000000,0,0,"ok"
8007.815383,1.000000,0,0,"ok"
8007.835362,1.000000,0,0,"ok"
8007.855368,1.000000,0,0,"ok"
8007.875304,1.000000,0,0,"ok"
8007.895317,1.000000,0,0,"ok"
8007.918681,1.000000,0,0,"ok"
8007.935583,1.000000,0,0,"ok"
8007.955364,1.000000,0,0,"ok"
8007.975289,1.000000,0,0,"ok"
8007.995379,1.000000,0,0,"ok"
8008.015340,1.000000,0,0,"ok"
8008.035916,1.000000,0,0,"ok"
8008.055362,1.000000,0,0,"ok"
8008.075354,1.000000,0,0,"ok"
8008.095362,1.000000,0,0,"ok"
8008.115448,1.000000,0,0,"ok"
