t,dq_left_hip_pitch_joint,dq_left_hip_roll_joint,dq_left_hip_yaw_joint,dq_left_knee_joint,dq_left_ankle_pitch_joint,dq_left_ankle_roll_joint,dq_right_hip_pitch_joint,dq_right_hip_roll_joint,dq_right_hip_yaw_joint,dq_right_knee_joint,dq_right_ankle_pitch_joint,dq_right_ankle_roll_joint,dq_waist_yaw_joint,dq_waist_pitch_joint,dq_waist_roll_joint,dq_left_shoulder_pitch_joint,dq_left_shoulder_roll_joint,dq_left_shoulder_yaw_joint,dq_left_elbow_joint,dq_left_wrist_yaw_joint,dq_left_wrist_pitch_joint,dq_left_wrist_roll_joint,dq_right_shoulder_pitch_joint,dq_right_shoulder_roll_joint,dq_right_shoulder_yaw_joint,dq_right_elbow_joint,dq_right_wrist_yaw_joint,dq_right_wrist_pitch_joint,dq_right_wrist_roll_joint,dq_head_yaw_joint,dq_head_pitch_joint
8004.175503,0.091576,-0.152626,0.006105,-0.421246,0.396826,-0.006105,0.042734,-0.177046,0.018314,-0.177046,0.152626,0.091576,-0.091576,-0.109665,-0.098354,-0.006105,-0.006105,-0.238094,-0.006105,0.006105,0.080585,-0.007326,0.018314,0.042734,0.323565,0.006105,0.042734,0.124542,-0.065933,0.003069,0.000000
8004.195495,0.140415,-0.164835,0.006105,-0.506716,0.274725,-0.006105,0.006105,-0.189255,0.018314,-0.189255,0.115995,0.152626,-0.103785,0.004465,-0.030734,-0.006105,0.018314,-0.177046,-0.006105,0.006105,0.095238,-0.007326,-0.006105,0.042734,0.445665,0.006105,0.042734,0.095238,-0.080585,0.003069,0.000000
8004.215556,0.164835,-0.164835,0.006105,-0.543346,0.360195,-0.018314,0.042734,-0.177046,0.006105,-0.164835,0.164835,0.164835,-0.115995,-0.041100,-0.031093,-0.042734,0.042734,-0.311356,-0.018314,-0.006105,0.124542,-0.007326,0.006105,0.006105,0.457876,0.006105,0.103785,0.080585,-0.051283,0.003069,0.000000
8004.235474,0.201466,-0.128204,0.006105,-0.531136,0.384615,-0.067156,0.079365,-0.128204,0.006105,-0.164835,0.152626,0.201466,-0.079365,-0.072986,-0.036405,-0.054945,0.054945,-0.372406,-0.018314,-0.018314,0.080585,-0.007326,-0.018314,0.006105,0.360195,-0.006105,0.067156,0.124542,-0.065933,0.003069,0.000000
8004.255490,0.164835,-0.018314,-0.006105,-0.445665,0.274725,-0.054945,0.140415,-0.030525,0.006105,-0.262516,0.164835,0.286936,-0.067156,-0.150294,-0.001112,-0.054945,0.042734,-0.445665,-0.018314,-0.030525,0.080585,-0.007326,0.006105,-0.006105,0.262516,0.006105,0.067156,0.080585,-0.080585,0.003069,0.000000
8004.275520,0.103785,-0.006105,-0.018314,-0.384615,0.274725,-0.018314,0.067156,-0.006105,-0.018314,-0.250305,0.128204,0.213675,-0.030525,-0.159285,0.009007,-0.018314,-0.030525,-0.262516,-0.006105,-0.042734,0.065933,-0.007326,0.006105,-0.006105,0.201466,0.006105,0.067156,0.095238,-0.080585,0.003069,0.000000
8004.295430,0.115995,0.006105,0.006105,-0.384615,0.225885,-0.042734,0.079365,0.006105,-0.006105,-0.238094,0.164835,0.238094,-0.042734,-0.082094,-0.087134,-0.006105,-0.030525,-0.213675,-0.006105,-0.042734,0.036631,-0.007326,0.018314,-0.006105,0.323565,0.006105,0.067156,0.109890,-0.095238,0.003069,0.000000
8004.316127,0.201466,0.018314,0.006105,-0.445665,0.347986,-0.054945,0.140415,0.006105,-0.042734,-0.189255,0.189255,0.115995,-0.054945,0.009024,-0.035558,-0.054945,0.006105,-0.286936,-0.006105,-0.079365,0.065933,-0.007326,0.006105,-0.018314,0.360195,0.006105,0.189255,0.124542,-0.109890,0.003069,0.000000
8004.335436,0.274725,0.018314,-0.054945,-0.445665,0.262516,-0.042734,0.238094,0.006105,-0.079365,-0.250305,0.164835,0.054945,-0.030525,0.036317,-0.045635,-0.103785,0.018314,-0.470085,-0.006105,-0.103785,0.109890,0.007326,-0.030525,-0.006105,0.286936,-0.006105,0.311356,0.124542,-0.080585,0.003069,0.000000
8004.355421,0.189255,0.054945,-0.091576,-0.347986,0.262516,-0.164835,0.238094,0.030525,-0.103785,-0.274725,0.140415,0.018314,-0.030525,0.049981,-0.050745,-0.091576,-0.018314,-0.470085,-0.006105,-0.238094,0.109890,-0.007326,0.006105,-0.018314,0.189255,0.006105,0.421246,0.080585,-0.080585,0.009206,0.000000
