t,a_il_0,a_il_1,a_il_2,a_il_3,a_il_4,a_il_5,a_il_6,a_il_7,a_il_8,a_il_9,a_il_10,a_il_11,a_il_12,a_il_13,a_il_14,a_il_15,a_il_16,a_il_17,a_il_18,a_il_19,a_il_20,a_il_21,a_il_22,a_il_23,a_il_24,a_il_25,a_il_26,a_il_27,a_il_28,a_il_29,a_il_30
8004.155497,0.243543,0.957686,-0.205995,1.042554,-0.541219,-0.037421,0.046969,-0.368129,0.033642,-2.399454,-1.274398,-2.457800,-0.231279,0.062007,1.344553,1.048778,-2.051114,0.023756,-0.218273,-1.115325,0.472295,-1.515643,1.260564,0.035599,-0.141173,-0.386262,0.465793,10.220788,-3.329126,3.271584,-2.278688
8004.175503,0.241502,0.975205,-0.193341,0.980133,-0.553905,-0.048126,0.053343,-0.367430,-0.070009,-2.403165,-1.285891,-2.516931,-0.245114,0.016697,1.227876,0.990747,-1.874065,0.014261,-0.213644,-1.054264,0.502328,-1.523988,1.275387,0.027603,-0.158331,-0.372132,0.462384,10.436114,-3.467862,3.309488,-2.374190
8004.195495,0.241267,0.980870,-0.185951,0.937421,-0.554695,-0.058904,0.072678,-0.364714,-0.100475,-2.386602,-1.294880,-2.564656,-0.223084,0.015315,1.226277,0.995856,-1.690659,0.010334,-0.201567,-1.013360,0.500487,-1.529410,1.275902,0.034669,-0.151330,-0.377877,0.460843,10.643207,-3.623944,3.334152,-2.455866
8004.215556,0.263407,0.987603,-0.175824,0.872416,-0.556306,-0.086707,0.076949,-0.359805,-0.139225,-2.373909,-1.321475,-2.593191,-0.174885,0.046065,1.174680,0.973849,-1.506654,0.029153,-0.191216,-0.962876,0.505167,-1.517697,1.288267,0.059346,-0.142466,-0.379454,0.448959,10.829597,-3.784061,3.349736,-2.550197
8004.235474,0.297799,0.989639,-0.167123,0.784708,-0.570572,-0.149921,0.097428,-0.335618,-0.132734,-2.351944,-1.367037,-2.608137,-0.183121,0.028516,1.082845,0.942602,-1.332693,0.030077,-0.162146,-0.882572,0.537041,-1.510621,1.309671,0.040426,-0.163599,-0.396886,0.445066,11.007327,-3.946583,3.362785,-2.650201
8004.255490,0.334710,0.964014,-0.173123,0.736254,-0.559587,-0.133101,0.122723,-0.333881,-0.131811,-2.334931,-1.385018,-2.624141,-0.186518,0.045670,1.061299,0.931867,-1.148156,0.036632,-0.144527,-0.850162,0.524752,-1.509655,1.325133,0.041053,-0.158849,-0.396082,0.439403,11.164552,-4.093828,3.365284,-2.754959
8004.275520,0.347256,0.976416,-0.173152,0.709301,-0.559031,-0.034197,0.130304,-0.343758,-0.155987,-2.336386,-1.392822,-2.641357,-0.167619,0.067660,1.039077,0.926756,-0.958913,0.060229,-0.136003,-0.834705,0.514780,-1.501580,1.335890,0.061474,-0.143260,-0.409977,0.447301,11.308053,-4.235328,3.367740,-2.864202
8004.295430,0.346348,0.993077,-0.159586,0.710490,-0.540066,0.073343,0.131241,-0.373309,-0.096338,-2.336769,-1.405526,-2.669104,-0.154165,0.042898,1.068514,0.940238,-0.775580,0.062821,-0.121941,-0.832473,0.476984,-1.497099,1.333909,0.063256,-0.168418,-0.415283,0.457617,11.445019,-4.377638,3.374574,-2.953541
8004.316127,0.345459,0.999963,-0.171362,0.671109,-0.530830,0.095996,0.130846,-0.369475,-0.053450,-2.319545,-1.433672,-2.714395,-0.159790,0.062982,1.037795,0.931647,-0.599573,0.065159,-0.121103,-0.803059,0.459365,-1.501415,1.343981,0.063405,-0.149935,-0.410081,0.460012,11.591874,-4.516287,3.390783,-3.036111
8004.335436,0.347615,0.993777,-0.176975,0.623143,-0.536916,0.076176,0.140769,-0.371858,-0.018649,-2.304223,-1.469353,-2.739845,-0.166819,0.051044,0.957031,0.883534,-0.452906,0.064418,-0.112409,-0.772555,0.461869,-1.502913,1.343666,0.059622,-0.167284,-0.410861,0.457891,11.711145,-4.666727,3.401832,-3.117565
