t,qw,qx,qy,qz,wx,wy,wz
8005.855419,-0.447678,0.010850,0.007007,0.894102,0.001305,-0.017055,-0.009982
8005.875483,-0.447577,0.010991,0.007119,0.894149,0.010191,-0.022699,-0.008696
8005.895438,-0.447503,0.011121,0.007255,0.894184,0.004481,-0.030831,-0.015256
8005.915457,-0.447348,0.011442,0.007464,0.894256,0.008048,-0.049404,-0.020243
8005.936106,-0.447183,0.011858,0.007727,0.894331,0.006452,-0.059790,-0.013823
8005.955435,-0.447146,0.012368,0.008058,0.894339,0.008454,-0.060735,0.002357
8005.975380,-0.447184,0.012856,0.008346,0.894311,0.000101,-0.066512,0.003513
8005.995367,-0.447147,0.013541,0.008691,0.894316,0.001942,-0.071321,-0.013206
8006.015424,-0.446990,0.014331,0.009082,0.894378,0.002765,-0.107466,-0.009866
8006.035412,-0.446853,0.015369,0.009644,0.894423,-0.002293,-0.109215,-0.017267
8006.055426,-0.446687,0.016043,0.010013,0.894491,-0.000367,-0.033417,-0.032994
8006.075379,-0.446462,0.016237,0.010078,0.894598,-0.006919,-0.009841,-0.021098
8006.095430,-0.446202,0.016452,0.010174,0.894723,0.001477,-0.040776,-0.022619
8006.115372,-0.446055,0.016775,0.010337,0.894789,-0.001020,-0.038183,-0.023934
8006.135364,-0.445736,0.016981,0.010426,0.894943,0.001710,-0.009469,-0.038676
8006.155362,-0.445368,0.017049,0.010453,0.895124,-0.004038,-0.002952,-0.043448
8006.175433,-0.445211,0.017130,0.010526,0.895200,0.001394,0.008556,0.006367
8006.195442,-0.445299,0.017135,0.010586,0.895155,0.003417,0.001143,0.006114
8006.215414,-0.445268,0.017166,0.010616,0.895170,-0.001280,0.005783,-0.004489
8006.235405,-0.445211,0.017122,0.010638,0.895199,-0.002409,0.009756,-0.002904
8006.255428,-0.445215,0.017010,0.010629,0.895199,-0.006622,0.017361,-0.008478
8006.275436,-0.445040,0.016862,0.010523,0.895290,-0.004346,0.017056,-0.026272
8006.295364,-0.444797,0.016668,0.010404,0.895416,-0.004620,0.018682,-0.020443
8006.315659,-0.444756,0.016484,0.010304,0.895441,-0.002618,0.022833,0.008448
8006.335425,-0.444882,0.016153,0.010170,0.895386,0.000929,0.031717,0.012099
8006.355424,-0.445153,0.015800,0.010037,0.895259,0.007636,0.046561,0.027654
8006.375391,-0.445426,0.015278,0.009797,0.895135,0.005329,0.070767,0.042954
8006.395357,-0.445593,0.014702,0.009632,0.895063,0.013252,0.061778,0.011895
8006.415439,-0.445788,0.014110,0.009491,0.894977,0.013224,0.083134,0.031181
8006.435436,-0.446275,0.013246,0.009222,0.894750,0.010534,0.106066,0.060296
8006.455385,-0.447135,0.012201,0.008811,0.894340,-0.007138,0.081143,0.106719
8006.475462,-0.448469,0.011669,0.008358,0.893683,-0.027495,0.059909,0.164541
8006.495437,-0.449298,0.011463,0.007999,0.893273,-0.019122,0.022050,0.037772
8006.515356,-0.449333,0.011492,0.007835,0.893256,-0.017947,-0.013797,-0.016209
8006.535346,-0.449295,0.011395,0.007755,0.893277,-0.005994,0.020106,0.009562
8006.555494,-0.449452,0.011495,0.007539,0.893199,-0.030280,0.015053,0.017460
8006.575372,-0.449529,0.011585,0.007299,0.893161,-0.019383,0.013430,0.013141
8006.595457,-0.449733,0.011622,0.007202,0.893059,-0.003042,0.000838,0.028459
8006.615419,-0.449980,0.011951,0.007377,0.892928,0.001121,-0.053846,0.033968
8006.635414,-0.450237,0.012458,0.007519,0.892790,0.003177,-0.028839,0.026425
8006.655413,-0.450432,0.012345,0.007596,0.892693,0.017271,0.025702,0.012281
8006.675367,-0.450564,0.012198,0.007345,0.892630,-0.018729,0.021709,0.017866
8006.695483,-0.450756,0.012174,0.007069,0.892536,-0.010332,0.028309,0.022826
8006.716602,-0.450911,0.012015,0.006836,0.892462,-0.003477,0.025739,0.008989
8006.735411,-0.450901,0.011887,0.006608,0.892470,-0.012143,0.025449,-0.014850
8006.755377,-0.450833,0.011710,0.006325,0.892509,-0.016583,0.018262,0.010966
8006.775426,-0.451039,0.011688,0.006141,0.892407,-0.011976,0.009956,0.032208
8006.795405,-0.451243,0.011547,0.006067,0.892306,-0.009385,-0.002788,0.023469
8006.816155,-0.451363,0.011505,0.005976,0.892246,-0.012700,0.009028,0.005402
8006.835352,-0.451435,0.011352,0.005785,0.892213,-0.013877,0.027908,0.010116
8006.855343,-0.451563,0.011196,0.005620,0.892151,-0.013412,0.020492,0.014653
8006.875362,-0.451710,0.011170,0.005483,0.892078,-0.008043,0.007594,0.020243
8006.895338,-0.451993,0.011157,0.005377,0.891936,-0.004850,0.017648,0.049370
8006.915359,-0.452446,0.011078,0.005187,0.891708,-0.003314,0.021139,0.051206
8006.935327,-0.452657,0.010998,0.005042,0.891603,0.001121,0.004492,-0.007423
8006.955405,-0.452589,0.010990,0.004973,0.891638,-0.000134,-0.006928,0.004588
8006.975403,-0.452613,0.011037,0.004975,0.891625,0.004904,-0.005191,0.009321
