t,q_left_hip_pitch_joint,q_left_hip_roll_joint,q_left_hip_yaw_joint,q_left_knee_joint,q_left_ankle_pitch_joint,q_left_ankle_roll_joint,q_right_hip_pitch_joint,q_right_hip_roll_joint,q_right_hip_yaw_joint,q_right_knee_joint,q_right_ankle_pitch_joint,q_right_ankle_roll_joint,q_waist_yaw_joint,q_waist_pitch_joint,q_waist_roll_joint,q_left_shoulder_pitch_joint,q_left_shoulder_roll_joint,q_left_shoulder_yaw_joint,q_left_elbow_joint,q_left_wrist_yaw_joint,q_left_wrist_pitch_joint,q_left_wrist_roll_joint,q_right_shoulder_pitch_joint,q_right_shoulder_roll_joint,q_right_shoulder_yaw_joint,q_right_elbow_joint,q_right_wrist_yaw_joint,q_right_wrist_pitch_joint,q_right_wrist_roll_joint,q_head_yaw_joint,q_head_pitch_joint
8004.215556,-0.197401,-0.024831,-0.004506,0.627293,-0.395091,0.031158,-0.350222,-0.025215,-0.015052,0.604092,-0.250515,0.033076,-0.012559,0.022439,0.011669,0.199127,0.082546,-0.141796,-0.577439,-0.017161,0.035668,0.004005,0.222328,-0.076026,0.144672,-0.585685,0.019846,0.035668,-0.023460,-0.009923,0.000000
8004.235474,-0.193375,-0.027707,-0.004698,0.615981,-0.387228,0.030392,-0.349072,-0.028283,-0.015052,0.600832,-0.247830,0.036527,-0.014477,0.021291,0.010695,0.198360,0.083889,-0.147931,-0.577439,-0.017161,0.038339,0.004005,0.221753,-0.075643,0.152725,-0.585685,0.022147,0.037576,-0.024986,-0.009923,0.000000
8004.255490,-0.189157,-0.028858,-0.004698,0.606009,-0.381668,0.029049,-0.346770,-0.029624,-0.015052,0.596039,-0.245146,0.040554,-0.016010,0.019931,0.010283,0.197593,0.084464,-0.155601,-0.577439,-0.017353,0.039865,0.004387,0.221561,-0.075260,0.157710,-0.585685,0.023297,0.039483,-0.026131,-0.009923,0.000000
8004.275520,-0.186472,-0.029049,-0.004889,0.597956,-0.376683,0.028090,-0.344853,-0.029816,-0.015052,0.590478,-0.242078,0.045348,-0.017161,0.016785,0.010420,0.197018,0.085231,-0.164421,-0.577439,-0.017928,0.041390,0.004387,0.221561,-0.075068,0.162695,-0.585685,0.024639,0.041009,-0.028038,-0.009923,0.000000
8004.295430,-0.183980,-0.029049,-0.005081,0.590095,-0.371314,0.027707,-0.343319,-0.030008,-0.015052,0.584918,-0.238819,0.049950,-0.017545,0.013639,0.009436,0.196826,0.085039,-0.167297,-0.577439,-0.018887,0.042535,0.004387,0.222136,-0.075068,0.168064,-0.585685,0.025790,0.043298,-0.029564,-0.009923,0.000000
8004.316127,-0.180912,-0.029049,-0.005081,0.583192,-0.366137,0.026749,-0.341785,-0.030008,-0.015436,0.581467,-0.236517,0.052634,-0.018504,0.012207,0.007829,0.196443,0.085039,-0.171133,-0.577631,-0.020229,0.043679,0.004387,0.222136,-0.075068,0.174009,-0.585685,0.027707,0.045205,-0.031472,-0.009923,0.000000
8004.335436,-0.174776,-0.028474,-0.005656,0.573030,-0.360384,0.025598,-0.337375,-0.029816,-0.017161,0.576673,-0.232874,0.053784,-0.020421,0.012275,0.005672,0.194717,0.085039,-0.178802,-0.577631,-0.022913,0.045968,0.004768,0.221178,-0.075068,0.180912,-0.585685,0.034035,0.047494,-0.033380,-0.009923,0.000000
8004.355421,-0.169598,-0.027707,-0.007190,0.565360,-0.355207,0.023489,-0.332582,-0.029624,-0.019079,0.571112,-0.229998,0.054360,-0.021572,0.012558,0.003756,0.192991,0.085039,-0.188198,-0.577631,-0.027707,0.048257,0.004768,0.220986,-0.075260,0.185513,-0.585876,0.043046,0.049020,-0.034905,-0.009923,0.000000
8004.375499,-0.166722,-0.026173,-0.008533,0.558265,-0.350605,0.020613,-0.329322,-0.028858,-0.021763,0.565360,-0.226930,0.054935,-0.023106,0.011986,0.002476,0.191649,0.085039,-0.196443,-0.577631,-0.033843,0.050164,0.004768,0.221178,-0.075260,0.190115,-0.586068,0.046881,0.050546,-0.036050,-0.009923,0.000000
8004.395497,-0.164038,-0.025023,-0.009299,0.550596,-0.345620,0.018887,-0.326829,-0.028474,-0.023681,0.560374,-0.224054,0.055702,-0.023872,0.010414,0.000718,0.189732,0.083697,-0.201236,-0.577631,-0.039787,0.052453,0.005150,0.221945,-0.076219,0.194717,-0.586068,0.047840,0.052453,-0.037194,-0.009923,0.000000
