t,target_left_hip_pitch_joint,target_left_hip_roll_joint,target_left_hip_yaw_joint,target_left_knee_joint,target_left_ankle_pitch_joint,target_left_ankle_roll_joint,target_right_hip_pitch_joint,target_right_hip_roll_joint,target_right_hip_yaw_joint,target_right_knee_joint,target_right_ankle_pitch_joint,target_right_ankle_roll_joint,target_waist_yaw_joint,target_waist_pitch_joint,target_waist_roll_joint,target_left_shoulder_pitch_joint,target_left_shoulder_roll_joint,target_left_shoulder_yaw_joint,target_left_elbow_joint,target_left_wrist_yaw_joint,target_left_wrist_pitch_joint,target_left_wrist_roll_joint,target_right_shoulder_pitch_joint,target_right_shoulder_roll_joint,target_right_shoulder_yaw_joint,target_right_elbow_joint,target_right_wrist_yaw_joint,target_right_wrist_pitch_joint,target_right_wrist_roll_joint,target_head_yaw_joint,target_head_pitch_joint
8004.275520,-0.278748,0.068815,0.012421,0.443750,-0.153329,-0.112282,-0.217984,-0.053914,-0.033024,0.534864,-0.176430,0.069212,-0.041371,-0.009215,-0.042032,0.165393,0.210072,-0.199108,-0.592778,-0.053497,0.058148,0.013269,0.211529,-0.228327,0.175819,-0.619661,0.058950,0.058573,-0.050248,-0.010000,-0.002981
8004.295430,-0.277585,0.070680,0.013017,0.436683,-0.142081,-0.115197,-0.213499,-0.053941,-0.036717,0.529446,-0.168325,0.066658,-0.039316,0.020378,-0.026767,0.166967,0.211986,-0.204732,-0.591785,-0.056157,0.059994,0.013690,0.209887,-0.226477,0.181836,-0.622030,0.061881,0.060432,-0.051843,-0.010000,-0.002542
8004.316127,-0.276568,0.069343,0.013418,0.430933,-0.140245,-0.115079,-0.209590,-0.054586,-0.037883,0.522395,-0.163517,0.065929,-0.043541,0.027508,-0.015316,0.166137,0.213265,-0.211318,-0.591234,-0.057804,0.061883,0.014121,0.212200,-0.226192,0.188637,-0.621683,0.064435,0.062336,-0.053476,-0.010000,-0.002087
8004.335436,-0.275360,0.066462,0.014713,0.425697,-0.149978,-0.113997,-0.207102,-0.056574,-0.039193,0.514548,-0.167163,0.067769,-0.046243,0.022448,-0.005496,0.164231,0.213882,-0.217738,-0.591222,-0.059537,0.063708,0.014537,0.211618,-0.225337,0.194561,-0.623563,0.066357,0.064174,-0.055053,-0.010000,-0.001662
8004.355421,-0.271611,0.062617,0.017742,0.420542,-0.161932,-0.112192,-0.205990,-0.057724,-0.038334,0.506637,-0.171652,0.069512,-0.049968,0.012427,0.003733,0.160805,0.216667,-0.223881,-0.591027,-0.061647,0.065548,0.014957,0.213339,-0.224451,0.200997,-0.624178,0.067455,0.066027,-0.056643,-0.010000,-0.001262
8004.375499,-0.265587,0.060164,0.021551,0.414035,-0.180556,-0.113267,-0.207326,-0.056620,-0.038321,0.497598,-0.182345,0.070679,-0.052686,0.042421,0.008848,0.158867,0.220308,-0.230339,-0.588856,-0.064053,0.067399,0.015380,0.214290,-0.224452,0.207108,-0.624594,0.070148,0.067892,-0.058243,-0.010000,-0.000872
8004.395497,-0.261722,0.055898,0.024072,0.407583,-0.198167,-0.113389,-0.206859,-0.057561,-0.039380,0.488521,-0.192013,0.075358,-0.051544,0.050178,0.015487,0.156832,0.225338,-0.236777,-0.587391,-0.065986,0.069250,0.015802,0.211373,-0.222898,0.214413,-0.627000,0.072155,0.069756,-0.059842,-0.010000,-0.000487
8004.415472,-0.260462,0.049775,0.024824,0.402046,-0.217515,-0.111346,-0.204632,-0.059769,-0.040808,0.479461,-0.205973,0.081067,-0.049364,0.041468,0.028295,0.159151,0.226506,-0.243213,-0.586806,-0.066490,0.071099,0.016224,0.210179,-0.219472,0.222117,-0.628768,0.075667,0.071619,-0.061440,-0.010000,-0.000140
8004.435451,-0.257217,0.047517,0.024698,0.395350,-0.240201,-0.111051,-0.203907,-0.059754,-0.042679,0.471494,-0.221574,0.084641,-0.057472,0.028940,0.024501,0.156474,0.226865,-0.249946,-0.587324,-0.066073,0.072948,0.016646,0.212671,-0.216776,0.228905,-0.629436,0.077443,0.073481,-0.063037,-0.010000,0.000184
8004.455551,-0.258604,0.039535,0.025224,0.388658,-0.264778,-0.106581,-0.198817,-0.065688,-0.045550,0.461545,-0.242367,0.096186,-0.053914,0.048910,-0.004901,0.152989,0.229349,-0.255083,-0.589248,-0.066449,0.074804,0.017069,0.206910,-0.214568,0.235130,-0.632727,0.079783,0.075350,-0.064641,-0.010000,0.000496
8004.475459,-0.258260,0.035891,0.026399,0.381144,-0.282560,-0.105188,-0.196353,-0.064781,-0.048106,0.453886,-0.258607,0.100874,-0.054755,0.051890,-0.015164,0.150343,0.232402,-0.260636,-0.589729,-0.067890,0.076651,0.017491,0.205004,-0.214705,0.241281,-0.633482,0.082785,0.077211,-0.066237,-0.010000,0.000810
8004.495485,-0.256560,0.029450,0.028184,0.375957,-0.299479,-0.102302,-0.193917,-0.064252,-0.049688,0.443997,-0.274403,0.105837,-0.051875,0.042829,0.009016,0.147569,0.232328,-0.266805,-0.591824,-0.070397,0.078501,0.017913,0.201461,-0.213516,0.247901,-0.635336,0.086829,0.079075,-0.067837,-0.010000,0.001108
8004.515827,-0.251139,0.025933,0.030764,0.370929,-0.313951,-0.102351,-0.194870,-0.061537,-0.050882,0.433596,-0.288798,0.107742,-0.054108,0.047524,0.011621,0.148097,0.230635,-0.274411,-0.593192,-0.072824,0.080372,0.018340,0.201884,-0.212523,0.253730,-0.635497,0.090135,0.080960,-0.069453,-0.010000,0.001410
8004.535472,-0.244333,0.019387,0.034569,0.367187,-0.334192,-0.099521,-0.199683,-0.061818,-0.048921,0.419287,-0.314797,0.115902,-0.060127,0.075838,0.008096,0.141072,0.234619,-0.281173,-0.595391,-0.073752,0.082209,0.018759,0.203348,-0.210553,0.261103,-0.636457,0.093915,0.082810,-0.071041,-0.010000,0.001673
8004.555482,-0.238129,0.017725,0.035745,0.360739,-0.355506,-0.098450,-0.205160,-0.059529,-0.049471,0.407900,-0.342592,0.121871,-0.063601,0.097134,-0.005719,0.136410,0.235983,-0.289756,-0.598145,-0.076447,0.084056,0.019180,0.202697,-0.209051,0.266930,-0.637805,0.097088,0.084670,-0.072636,-0.010000,0.001950
8004.575547,-0.234661,0.014373,0.037250,0.354527,-0.374262,-0.094883,-0.206964,-0.060852,-0.051554,0.396146,-0.368004,0.127653,-0.060661,0.107267,-0.019227,0.135782,0.238030,-0.297584,-0.599046,-0.077444,0.085908,0.019603,0.198898,-0.209010,0.273031,-0.639669,0.099584,0.086536,-0.074237,-0.010000,0.002216
8004.595467,-0.232495,0.011479,0.038620,0.347859,-0.385689,-0.090080,-0.207879,-0.062811,-0.054034,0.385999,-0.384326,0.130281,-0.060967,0.104847,-0.041067,0.134783,0.239466,-0.304446,-0.600135,-0.078894,0.087755,0.020025,0.197771,-0.210473,0.279169,-0.640092,0.102090,0.088396,-0.075833,-0.010000,0.002464
8004.615440,-0.237681,0.007008,0.035288,0.341659,-0.395583,-0.084762,-0.204159,-0.067489,-0.060190,0.378908,-0.399996,0.130325,-0.060995,0.115873,-0.065273,0.132287,0.242603,-0.309946,-0.600086,-0.079405,0.089603,0.020446,0.196922,-0.213997,0.286708,-0.638456,0.103012,0.090258,-0.077429,-0.010000,0.002688
8004.635494,-0.238153,0.004980,0.036000,0.336248,-0.397656,-0.080411,-0.202022,-0.068868,-0.062759,0.371037,-0.404316,0.129138,-0.062149,0.109858,-0.068132,0.129765,0.244042,-0.316714,-0.600478,-0.080743,0.091455,0.020869,0.195570,-0.213901,0.293842,-0.639728,0.104337,0.092124,-0.079030,-0.010000,0.002938
8004.655458,-0.236583,0.002938,0.038270,0.329825,-0.402268,-0.075512,-0.200436,-0.068510,-0.064378,0.363988,-0.411175,0.129345,-0.063761,0.113444,-0.080242,0.131228,0.243897,-0.324764,-0.599980,-0.082436,0.093304,0.021291,0.195777,-0.213615,0.300790,-0.641352,0.107248,0.093986,-0.080628,-0.010000,0.003205
8004.675479,-0.231432,-0.001174,0.041777,0.327467,-0.398289,-0.071764,-0.199696,-0.068265,-0.064172,0.354613,-0.412507,0.128556,-0.063685,0.088985,-0.054571,0.128008,0.247441,-0.330972,-0.600256,-0.084266,0.095156,0.021713,0.193031,-0.211875,0.306337,-0.644905,0.109248,0.095851,-0.082228,-0.010000,0.003442
8004.695463,-0.223625,-0.004470,0.048490,0.326355,-0.385520,-0.069193,-0.198557,-0.067090,-0.060618,0.345510,-0.406291,0.126483,-0.062633,0.058871,-0.029167,0.128765,0.249731,-0.338817,-0.598224,-0.086300,0.097005,0.022135,0.190004,-0.210238,0.311128,-0.647938,0.111355,0.097715,-0.083827,-0.010000,0.003660
8004.715829,-0.216872,-0.006124,0.051265,0.323036,-0.375523,-0.069694,-0.198269,-0.065216,-0.061907,0.340919,-0.395763,0.120557,-0.065092,0.049939,-0.021443,0.130110,0.251054,-0.345897,-0.596516,-0.087452,0.098877,0.022562,0.192337,-0.209264,0.317086,-0.649702,0.113810,0.099600,-0.085444,-0.010000,0.003899
